ID,Commodity,Additional Info,Country,Packages,Total,Commodity Group,Outcome,Status Notes,EPPO,EPPO_Group,Certificate_Number
1,Chrysanthemum hybrid,,(NETHERLANDS),89    Bunch,410 Pieces,Cutflowers,,,1CHYG,1,353953987
2,Dianthus hybrid,,(NETHERLANDS),3     Bunch,60 Pieces,Cutflowers,,,1DING,2,353953987
3,Solidago hybrid,,(KENYA),2     Bunch,50 Pieces,Cutflowers,,,1SOOG,3,353953987
4,Gypsophila hybrid,,(ECUADOR),2     Bunch,50 Pieces,Cutflowers,,,1GYPG,4,353953987
5,Argyranthemum frutescens,,(NETHERLANDS),2     Tray,6 Pieces,Pot plants,,,CHYFR,5,353953987
6,Adiantum raddianum,,(NETHERLANDS),2     Tray,16 Pieces,Pot plants,,,ADIRA,6,353953987
7,Stephanotis floribunda,,(NETHERLANDS),1     Tray,6 Pieces,Pot plants,,,SFTFL,7,353953987
